"[frozenset(), frozenset({'Intervencao=0'}), 0.8209535196532656, 1.0]",,
"[frozenset(), frozenset({'TipoChuva=1'}), 0.9566581975788373, 1.0]",,
"[frozenset(), frozenset({'TipoPavimento=4'}), 0.8330593334329697, 1.0]",,
"[frozenset(), frozenset({'capimAlto=0'}), 0.8121357046779256, 1.0]",,
"[frozenset({'Ave=0'}), frozenset({'TipoChuva=1'}), 0.9456258411843876, 0.9884678180541693]",,
"[frozenset({'Ave=0'}), frozenset({'capimAlto=0'}), 0.8161507402422611, 1.0049437988518528]",,
"[frozenset({'Ave=1'}), frozenset({'Intervencao=0'}), 0.8719758064516129, 1.0621500311246572]",,
"[frozenset({'Ave=1'}), frozenset({'TipoChuva=1'}), 0.9704301075268816, 1.0143958521265997]",,
"[frozenset({'Ave=1'}), frozenset({'TipoPavimento=4'}), 0.8840725806451613, 1.061236031054319]",,
"[frozenset({'Ave=1'}), frozenset({'capimAlto=0'}), 0.8071236559139784, 0.993828557548846]",,
"[frozenset({'FaixaKm=1'}), frozenset({'Intervencao=0'}), 0.9635193133047211, 1.1736587885166374]",,
"[frozenset({'FaixaKm=1'}), frozenset({'TipoChuva=1'}), 0.9753218884120173, 1.019509257204313]",,
"[frozenset({'FaixaKm=1'}), frozenset({'TipoPavimento=4'}), 0.9860515021459227, 1.1836509868780711]",,
"[frozenset({'FaixaKm=1'}), frozenset({'floresta=0'}), 0.9688841201716739, 1.713214494732735]",,
"[frozenset({'FaixaKm=10'}), frozenset({'Intervencao=0'}), 0.960843373493976, 1.1703992375838692]",,
"[frozenset({'FaixaKm=10'}), frozenset({'TipoChuva=1'}), 0.963855421686747, 1.007523297376351]",,
"[frozenset({'FaixaKm=10'}), frozenset({'TipoPavimento=4'}), 0.9939759036144579, 1.1931633963194004]",,
"[frozenset({'FaixaKm=10'}), frozenset({'agua=0'}), 0.8012048192771084, 1.129553612680812]",,
"[frozenset({'FaixaKm=2'}), frozenset({'Intervencao=0'}), 0.9513513513513513, 1.1588370456748391]",,
"[frozenset({'FaixaKm=2'}), frozenset({'TipoChuva=1'}), 0.9783783783783784, 1.0227042227354677]",,
"[frozenset({'FaixaKm=2'}), frozenset({'TipoPavimento=4'}), 0.9864864864864864, 1.1841731397705562]",,
"[frozenset({'FaixaKm=2'}), frozenset({'floresta=0'}), 0.8378378378378378, 1.4814939146334494]",,
"[frozenset({'FaixaKm=3'}), frozenset({'Intervencao=0'}), 0.952449567723343, 1.1601747783791896]",,
"[frozenset({'FaixaKm=3'}), frozenset({'TipoChuva=1'}), 0.9711815561959652, 1.015181345494017]",,
"[frozenset({'FaixaKm=3'}), frozenset({'TipoPavimento=4'}), 0.9827089337175792, 1.1796385854869613]",,
"[frozenset({'FaixaKm=4'}), frozenset({'Intervencao=0'}), 0.8881199538638984, 1.0818151486079273]",,
"[frozenset({'FaixaKm=4'}), frozenset({'TipoChuva=1'}), 0.9434832756632063, 0.9862281826999708]",,
"[frozenset({'FaixaKm=4'}), frozenset({'TipoPavimento=4'}), 0.9434832756632063, 1.1325523138612332]",,
"[frozenset({'FaixaKm=4'}), frozenset({'capimAlto=0'}), 0.8650519031141868, 1.0651568427929745]",,
"[frozenset({'FaixaKm=5'}), frozenset({'TipoChuva=1'}), 0.9312770562770563, 0.9734689554053715]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'FaixaKm=5'}), 0.826530612244898, 2.9925954147892924]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'FaixaKm=5'}), 0.8489847715736041, 3.073894538202914]",,
"[frozenset({'FaixaKm=5'}), frozenset({'agua=0'}), 0.8295454545454546, 1.1695087729379767]",,
"[frozenset({'FaixaKm=5'}), frozenset({'capimAlto=0'}), 0.8831168831168832, 1.0874006376398722]",,
"[frozenset({'FaixaKm=6'}), frozenset({'TipoChuva=1'}), 0.956923076923077, 1.0002768798144521]",,
"[frozenset({'FaixaKm=8'}), frozenset({'Intervencao=0'}), 0.9891304347826089, 1.2048555869525643]",,
"[frozenset({'FaixaKm=8'}), frozenset({'TipoChuva=1'}), 0.9855072463768116, 1.030156067100023]",,
"[frozenset({'FaixaKm=8'}), frozenset({'TipoPavimento=4'}), 1.0, 1.200394689630427]",,
"[frozenset({'FaixaKm=8'}), frozenset({'agua=0'}), 0.9166666666666669, 1.2923338952100019]",,
"[frozenset({'FaixaKm=8'}), frozenset({'capimAlto=0'}), 0.891304347826087, 1.0974820374133876]",,
"[frozenset({'FaixaKm=8'}), frozenset({'floresta=0'}), 0.8043478260869567, 1.422275714679658]",,
"[frozenset({'FaixaKm=9'}), frozenset({'Intervencao=0'}), 0.9822380106571936, 1.1964599543614205]",,
"[frozenset({'FaixaKm=9'}), frozenset({'TipoChuva=1'}), 0.9591474245115453, 1.0026020024069284]",,
"[frozenset({'FaixaKm=9'}), frozenset({'TipoPavimento=4'}), 0.9857904085257548, 1.1833375714829253]",,
"[frozenset({'FaixaKm=9'}), frozenset({'agua=0'}), 0.8081705150976909, 1.1393739815673516]",,
"[frozenset({'FaixaKm=9'}), frozenset({'capimAlto=0'}), 0.8738898756660746, 1.0760392267356835]",,
"[frozenset({'Intervencao=0'}), frozenset({'TipoChuva=1'}), 0.9588567267431276, 1.0022981344537207]","[frozenset({'TipoChuva=1'}), frozenset({'Intervencao=0'}), 0.8228401812216841, 1.0022981344537207]",
"[frozenset({'TipoLocal=5'}), frozenset({'Intervencao=0'}), 0.8277751310147689, 1.0083093758637935]",,
"[frozenset({'TipoLocal=6'}), frozenset({'Intervencao=0'}), 0.8062117235345582, 0.9820430806789967]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'Intervencao=0'}), 0.8367346938775511, 1.0192229813826132]",,
"[frozenset({'Intervencao=0'}), frozenset({'TipoPavimento=4'}), 0.8809393773894048, 1.0574749505045762]","[frozenset({'TipoPavimento=4'}), frozenset({'Intervencao=0'}), 0.8681377825618946, 1.0574749505045762]",
"[frozenset({'Vazamento=0'}), frozenset({'Intervencao=0'}), 0.8539855972187733, 1.0402362335683255]",,
"[frozenset({'agua=0'}), frozenset({'Intervencao=0'}), 0.8055204382638012, 0.9812010290229554]",,
"[frozenset({'agua=1'}), frozenset({'Intervencao=0'}), 0.858611825192802, 1.0458714222401309]",,
"[frozenset({'arbustos=0'}), frozenset({'Intervencao=0'}), 0.8501710376282782, 1.0355897347115983]",,
"[frozenset({'Intervencao=0'}), frozenset({'capimAlto=0'}), 0.811942472237393, 0.999762068778137]","[frozenset({'capimAlto=0'}), frozenset({'Intervencao=0'}), 0.8207581891792417, 0.999762068778137]",
"[frozenset({'capimAlto=1'}), frozenset({'Intervencao=0'}), 0.8217979315831344, 1.0010285745899785]",,
"[frozenset({'floresta=0'}), frozenset({'Intervencao=0'}), 0.8871564482029597, 1.0806415064492998]",,
"[frozenset({'vegetacaoBaixa=0'}), frozenset({'Intervencao=0'}), 0.8186644314054204, 0.9972116713150679]",,
"[frozenset({'vegetacaoBaixa=1'}), frozenset({'Intervencao=0'}), 0.8235861182519281, 1.0032067571861734]",,
"[frozenset({'Intervencao=1'}), frozenset({'TipoChuva=1'}), 0.9465776293823038, 0.9894627274171215]",,
"[frozenset({'Intervencao=1'}), frozenset({'capimAlto=0'}), 0.8130217028380634, 1.0010909484154364]",,
"[frozenset({'TipoLocal=5'}), frozenset({'TipoChuva=1'}), 0.9609337779895187, 1.0044692873813263]",,
"[frozenset({'TipoLocal=6'}), frozenset({'TipoChuva=1'}), 0.9488188976377954, 0.9918055372745647]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'TipoChuva=1'}), 0.9285714285714287, 0.9706407480973956]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'TipoChuva=1'}), 0.9428934010152283, 0.9856115835327125]",,
"[frozenset({'TipoChuva=1'}), frozenset({'TipoPavimento=4'}), 0.8359631307608185, 1.0034857028921127]","[frozenset({'TipoPavimento=4'}), frozenset({'TipoChuva=1'}), 0.9599928238249013, 1.0034857028921127]",
"[frozenset({'Vazamento=0'}), frozenset({'TipoChuva=1'}), 0.9595232182766328, 1.002994821666763]",,
"[frozenset({'Vazamento=1'}), frozenset({'TipoChuva=1'}), 0.9523273273273274, 0.9954729178483279]",,
"[frozenset({'agua=0'}), frozenset({'TipoChuva=1'}), 0.9601769911504426, 1.0036782139958773]",,
"[frozenset({'agua=1'}), frozenset({'TipoChuva=1'}), 0.9480719794344473, 0.9910247796275405]",,
"[frozenset({'arbustos=0'}), frozenset({'TipoChuva=1'}), 0.9584948688711518, 1.0019198824585027]",,
"[frozenset({'arbustos=1'}), frozenset({'TipoChuva=1'}), 0.95316565481353, 0.9963492261142523]",,
"[frozenset({'TipoChuva=1'}), frozenset({'capimAlto=0'}), 0.8109670364005623, 0.9985609938454476]","[frozenset({'capimAlto=0'}), frozenset({'TipoChuva=1'}), 0.9552815605447184, 0.9985609938454476]",
"[frozenset({'capimAlto=1'}), frozenset({'TipoChuva=1'}), 0.9626093874303898, 1.0062208110133946]",,
"[frozenset({'floresta=0'}), frozenset({'TipoChuva=1'}), 0.9632663847780126, 1.0069075739024655]",,
"[frozenset({'floresta=1'}), frozenset({'TipoChuva=1'}), 0.9480564155486756, 0.991008510613371]",,
"[frozenset({'vegetacaoBaixa=0'}), frozenset({'TipoChuva=1'}), 0.9544565521095278, 0.9976986080557492]",,
"[frozenset({'vegetacaoBaixa=1'}), frozenset({'TipoChuva=1'}), 0.9591902313624678, 1.002646748640255]",,
"[frozenset({'TipoChuva=2'}), frozenset({'capimAlto=0'}), 0.8501872659176031, 1.0468536982434085]",,
"[frozenset({'TipoLocal=5'}), frozenset({'TipoPavimento=4'}), 0.8937589328251547, 1.0728634767730731]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'TipoLocal=6'}), 0.8197278911564626, 2.3992997899072144]",,
"[frozenset({'TipoLocal=6'}), frozenset({'capimAlto=0'}), 0.8403324584426947, 1.0347192637909588]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'Vazamento=1'}), 0.8435374149659863, 2.1186594758023327]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'agua=0'}), 0.8537414965986395, 1.203620807783712]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'capimAlto=0'}), 0.979591836734694, 1.2061923039366649]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'agua=0'}), 0.8223350253807107, 1.15934337438313]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'capimAlto=0'}), 0.9390862944162437, 1.1563169664959674]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'floresta=1'}), 0.8629441624365481, 1.9862261406477275]",,
"[frozenset({'Vazamento=0'}), frozenset({'TipoPavimento=4'}), 0.9004221504842315, 1.0808619678668807]",,
"[frozenset({'agua=0'}), frozenset({'TipoPavimento=4'}), 0.8036241045090603, 0.9646661075116832]",,
"[frozenset({'agua=1'}), frozenset({'TipoPavimento=4'}), 0.9048843187660668, 1.0862183309766331]",,
"[frozenset({'arbustos=0'}), frozenset({'TipoPavimento=4'}), 0.8561003420752565, 1.02765830441793]",,
"[frozenset({'capimAlto=0'}), frozenset({'TipoPavimento=4'}), 0.8052999631947, 0.9666777993784962]",,
"[frozenset({'capimAlto=1'}), frozenset({'TipoPavimento=4'}), 0.9530628480509149, 1.1440515816843688]",,
"[frozenset({'floresta=0'}), frozenset({'TipoPavimento=4'}), 0.9513742071881607, 1.1420245461600256]",,
"[frozenset({'vegetacaoBaixa=1'}), frozenset({'TipoPavimento=4'}), 0.8991002570694088, 1.07927517403147]",,
"[frozenset({'Vazamento=1'}), frozenset({'capimAlto=0'}), 0.8614864864864865, 1.060766669319301]",,
"[frozenset({'agua=0'}), frozenset({'capimAlto=0'}), 0.8356510745891278, 1.0289549760905141]",,
"[frozenset({'arbustos=1'}), frozenset({'capimAlto=0'}), 0.8607979184735473, 1.0599188208513994]",,
"[frozenset({'floresta=1'}), frozenset({'capimAlto=0'}), 0.9026487788097696, 1.111450677036468]",,
"[frozenset({'vegetacaoBaixa=1'}), frozenset({'capimAlto=0'}), 0.884961439588689, 1.0896718793316007]",,
"[frozenset({'FaixaKm=1', 'Ave=0'}), frozenset({'Intervencao=0'}), 0.9267015706806283, 1.1288112523983405]",,
